Reference,Comment,Locality,Sample,Lithology,Age Minimum,Age Maximum,Age Precise,Age,SiO2,TiO2,CaO,Al2O3,MnO,Fe2O3,FeO,FeO.tot,MgO,Na2O,K2O,P2O5,H20 ,CO2,S,F,C,Corg,LOI,Cu,Pb,Hf,Zr,Nb,Ta,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,Ni,Co,Cr,Sc,Zn,V,Ga,Rb,Sr,Cs,Ba,U,Cl,Mo,As,Sn,W,Li,Be,Bi,B,Sb,Au (ng/g),Cd,Tl,Ag,Re,Ge,In,Te
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-22,Fine-grained clastic sediments,2680,2747,,2680,54.3,0.5,0.23,14,0.07,6.49,x,5.84,6.12,4.27,0.04,0.13,x,x,x,x,x,x,13.9,10,2,2.9,81,11,x,29,23,53,x,22,4.1,1.28,x,0.5,x,x,x,x,1.4,0.22,5,249,12,431,17,92,116,x,x,159,x,10,1.4,x,x,34,x,x,x,x,x,x,0.3,3,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Dome Formation, Abitibi Greenstone Belt",813-23,Fine-grained clastic sediments,2680,2747,,2680,54.2,0.61,0.33,15.1,0.09,9.77,x,8.79,11.5,2,0.02,0.17,x,x,x,x,x,x,5.93,24,2,x,104,17,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,332,17,737,x,104,117,x,20,80,x,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-4,Fine-grained clastic sediments,2680,2747,,2680,58,0.81,0.25,20.6,0.03,7.32,x,6.59,3.14,1.7,3.97,0.18,x,x,x,x,x,x,3.7,32,16,3.6,128,11,0.5,13,44,95,x,43,7,1.74,x,0.8,x,x,x,x,1.84,0.27,8.8,75,7,193,22,106,125,x,111,56,2.3,700,1.8,x,x,44,x,x,x,x,x,x,0.5,6,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-7,Fine-grained clastic sediments,2680,2747,,2680,61,0.65,1.76,15.4,0.09,8.05,x,7.24,2.91,1.34,2.85,0.14,x,x,x,x,x,x,4.85,35,6,2.8,76,15,0.2,x,32,69,x,29,4.9,1.36,x,0.5,x,x,x,x,1.54,0.22,5.7,57,22,146,18,107,106,x,73,80,1.6,570,1.3,x,x,57,x,x,x,x,x,x,0.5,4,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-9,Fine-grained clastic sediments,2680,2747,,2680,55,0.85,0.38,21,0.06,7.23,x,6.51,3.28,2.21,4.53,0.18,x,x,x,x,x,x,5.7,48,2,x,131,10,x,24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,71,26,185,x,114,128,x,138,91,x,1160,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-11,Fine-grained clastic sediments,2680,2747,,2680,66.3,0.57,0.44,15.6,0.03,6.01,x,5.41,2.88,2.9,2.2,0.15,x,x,x,x,x,x,2.85,35,10,x,137,19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,51,19,133,x,106,71,x,85,111,x,500,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-22,Fine-grained clastic sediments,2680,2747,,2680,60.5,0.81,0.95,19.6,0.04,6.05,x,5.44,2.25,2.42,4.07,0.22,x,x,x,x,x,x,3.39,64,6,3.6,154,x,0.5,11,32,69,x,30,5.1,1.39,x,0.6,x,x,x,x,1.5,0.22,7.6,63,26,167,20,123,131,x,119,74,1.6,710,1.9,x,x,170,x,x,x,x,x,x,0.4,7,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-24,Fine-grained clastic sediments,2680,2747,,2680,56.7,0.64,0.4,11.9,0.08,10.7,x,9.63,12.7,x,0.03,0.21,x,x,x,x,x,x,6.16,4,2,x,132,15,x,19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,182,34,347,x,104,102,x,x,7,x,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-31,Fine-grained clastic sediments,2680,2747,,2680,62.4,0.7,0.89,18,0.04,6.24,x,5.61,2.47,2.4,3.45,0.21,x,x,x,x,x,x,3.54,39,10,3.8,145,12,x,27,34,70,x,26,5,1.35,x,0.5,x,x,x,x,1.3,0.22,6.2,73,21,175,16,114,108,x,101,77,1.2,540,1.6,x,x,97,x,x,x,x,x,x,0.3,5,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"TNL Formation, Abitibi Greenstone Belt",GY-20,Fine-grained clastic sediments,2680,2747,,2680,63.7,0.66,0.33,17.7,0.03,6.66,x,5.99,2.13,2.76,3.12,0.21,x,x,x,x,x,x,2.85,29,14,3.5,132,x,0.4,38,36,71,x,32,5.4,1.51,x,0.5,x,x,x,x,1.28,0.2,6.4,68,13,163,16,111,104,x,90,75,1.2,460,1.4,x,x,56,x,x,x,x,x,x,0.3,5,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-1,Fine-grained clastic sediments,2680,2747,,2680,56.1,0.77,1.14,16.6,0.12,9.01,x,8.11,6.74,1.54,2.52,0.11,x,x,x,x,x,x,5.08,56,2,2.3,74,12,x,16,9,21,x,11,2.1,0.58,x,0.3,x,x,x,x,1.36,0.21,1.2,172,32,599,24,100,148,x,71,73,1.1,300,x,x,x,9,x,x,x,x,x,x,0.3,5,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-2,Fine-grained clastic sediments,2680,2747,,2680,58.4,0.74,0.46,16.6,0.11,8.7,x,7.83,6.68,1.54,2.56,0.11,x,x,x,x,x,x,4.47,25,2,2.3,75,x,x,x,6.5,17,x,9,2.1,0.64,x,0.3,x,x,x,x,1.27,0.19,1.3,205,34,466,27,100,158,x,85,56,1,260,x,x,x,15,x,x,x,x,x,x,0.2,7,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-4,Fine-grained clastic sediments,2680,2747,,2680,56.4,0.75,1.22,16.8,0.12,9.04,x,8.13,6.76,1.83,2.43,0.11,x,x,x,x,x,x,4.7,58,2,2.4,94,x,x,25,6.8,18,x,11,2.5,1.3,x,0.4,x,x,x,x,1.45,0.22,1.3,264,41,494,25,116,154,x,71,76,1,300,x,x,x,12,x,x,x,x,x,x,0.2,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-5,Fine-grained clastic sediments,2680,2747,,2680,57.2,0.76,0.99,16.8,0.12,8.58,x,7.72,6.69,1.72,2.62,0.11,x,x,x,x,x,x,4.62,79,2,x,79,16,x,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,201,9,443,x,101,141,x,80,71,x,310,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-10,Fine-grained clastic sediments,2680,2747,,2680,54,0.78,4.67,12,0.16,9.67,x,8.7,9.49,2.28,0.53,0.09,x,x,x,x,x,x,4.93,91,2,x,56,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,361,49,937,x,101,151,x,25,116,x,140,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-13,Fine-grained clastic sediments,2680,2747,,2680,53.7,0.64,2.33,14.4,0.13,9.25,x,8.32,10.5,2.13,1.03,0.09,x,x,x,x,x,x,6.08,50,2,2,26,24,x,16,5.2,12,x,7,2,0.8,x,0.4,x,x,x,x,1.31,0.2,1,418,47,491,25,104,150,x,23,120,0.4,210,x,x,x,14,x,x,x,x,x,x,0.2,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.","Note: S4-14 is printed twice in table, for some reason. Second set of values has been omitted.","Larder Lake Group, Abitibi Greenstone Belt",S4-14,Fine-grained clastic sediments,2680,2747,,2680,55.1,0.68,1.95,14.3,0.12,9.09,x,8.18,10.2,2.28,0.94,0.09,x,x,x,x,x,x,5.7,75,2,x,62,11,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,308,46,593,x,91,131,x,38,114,x,210,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-16,Fine-grained clastic sediments,2680,2747,,2680,55.9,0.67,2.5,12.9,0.12,8.72,x,7.85,9.7,2.08,0.47,0.08,x,x,x,x,x,x,6,80,2,1.6,54,12,0.2,x,6.4,16,x,8,1.8,0.64,x,0.3,x,x,x,x,1.3,0.2,0.7,330,44,712,22,84,117,x,13,102,0.4,100,x,x,x,3,x,x,x,x,x,x,x,6,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Larder Lake Group, Abitibi Greenstone Belt",S4-18,Fine-grained clastic sediments,2680,2747,,2680,52.8,0.7,1.59,15.8,0.12,9.05,x,8.14,9.81,2.3,2.4,0.1,x,x,x,x,x,x,5.31,33,12,x,48,22,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,446,49,546,x,116,163,x,48,142,x,640,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-1,Fine-grained clastic sediments,2680,2747,,2680,61.9,0.61,3.96,14.2,0.11,5.74,x,5.16,2.8,4.89,1.31,0.16,x,x,x,x,x,x,4.47,50,10,2.6,107,13,0.3,21,26,54,x,21,3.8,1.16,x,0.5,x,x,x,x,1.18,0.19,4.4,51,23,141,13,85,88,x,53,460,1.8,570,1.3,x,x,5,x,x,x,x,x,x,0.4,10,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-3,Fine-grained clastic sediments,2680,2747,,2680,59.1,0.74,5.54,12.1,0.17,7.65,x,6.88,4.04,3.68,0.87,0.18,x,x,x,x,x,x,5,40,12,x,94,x,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,104,33,292,x,103,141,x,29,1260,x,650,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-4,Fine-grained clastic sediments,2680,2747,,2680,64.1,0.58,3.73,13.9,0.13,5.24,x,4.71,2.69,5.18,1.41,0.16,x,x,x,x,x,x,2.85,71,12,3,90,14,0.2,22,28,57,x,24,4.3,1.25,x,0.5,x,x,x,x,1.26,0.21,6.1,58,22,151,14,73,96,x,42,912,0.6,840,1.5,x,x,10,x,x,x,x,x,x,0.3,6,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-5,Fine-grained clastic sediments,2680,2747,,2680,60.7,0.63,5.05,13.1,0.16,6.23,x,5.61,3.55,4.33,1.31,0.18,x,x,x,x,x,x,4.77,60,10,3,85,20,x,21,29,63,x,24,5.2,1.54,x,0.6,x,x,x,x,1.5,0.23,4,93,24,244,10,89,113,x,38,650,0.9,590,1.4,x,x,10,x,x,x,x,x,x,0.4,2,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-8,Fine-grained clastic sediments,2680,2747,,2680,62.3,0.61,4.73,12.5,0.16,6.24,x,5.61,3.1,3.94,1.01,0.15,x,x,x,x,x,x,5.16,35,10,2.6,88,12,x,16,25,52,x,22,3.8,1.1,x,0.4,x,x,x,x,1.18,0.19,4,83,24,192,15,88,111,x,33,479,1.6,600,1.2,x,x,7,x,x,x,x,x,x,0.7,15,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-9,Fine-grained clastic sediments,2680,2747,,2680,60.3,0.73,4.81,12.7,0.16,7.33,x,6.6,3.72,3.31,1.28,0.17,x,x,x,x,x,x,5.54,35,10,2.8,122,x,0.3,26,34,68,x,28,4.9,1.37,x,0.6,x,x,x,x,1.48,0.22,4.1,66,25,193,18,99,112,x,58,441,1.7,560,1,x,x,8,x,x,x,x,x,x,0.5,14,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-12,Fine-grained clastic sediments,2680,2747,,2680,62.5,0.59,5.54,12.4,0.16,5.96,x,5.36,2.54,3.17,1.7,0.14,x,x,x,x,x,x,5.7,22,2,2.2,73,12,0.2,25,21,42,x,19,3.6,0.97,x,0.4,x,x,x,x,1.25,0.18,2.9,53,18,147,14,70,86,x,78,447,2.1,500,0.6,x,x,5,x,x,x,x,x,x,0.5,7,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",T-13,Fine-grained clastic sediments,2680,2747,,2680,62.6,0.51,5.11,13.2,0.17,4.52,x,4.07,2.25,4.96,1.21,0.14,x,x,x,x,x,x,5.77,24,6,x,77,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,39,17,73,x,61,69,x,57,552,x,680,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Timiskaming Group, Abitibi Greenstone Belt",Dou-7,Fine-grained clastic sediments,2680,2747,,2680,62,0.57,4.25,12.8,0.12,6,x,5.4,3.53,3.58,1.91,0.18,x,x,x,x,x,x,5,25,18,x,114,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,72,19,171,x,97,101,x,88,454,x,530,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Matachewan Sediments, Abitibi Greenstone Belt",723-20,Fine-grained clastic sediments,2680,2747,,2680,57.9,0.89,1.4,20.7,0.09,5.99,x,5.39,3.14,2.34,4.13,0.18,x,x,x,x,x,x,3.16,27,4,x,145,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,74,28,140,x,79,171,x,126,246,x,1030,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Matachewan Sediments, Abitibi Greenstone Belt",723-14,Fine-grained clastic sediments,2680,2747,,2680,62.3,0.73,2.26,17.9,0.07,5.8,x,5.22,2.7,2.86,2.67,0.16,x,x,x,x,x,x,2.31,37,8,3.6,118,x,x,17,34,76,x,32,5.4,1.61,x,0.6,x,x,x,x,1.7,0.25,5,63,26,106,19,104,131,x,80,356,2.9,660,1.2,x,x,13,x,x,x,x,x,x,0.3,3,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Matachewan Sediments, Abitibi Greenstone Belt",723-17,Fine-grained clastic sediments,2680,2747,,2680,59.5,0.82,1.94,19.5,0.07,6.57,x,5.91,2.93,1.93,3.9,0.16,x,x,x,x,x,x,2.93,64,4,3.4,120,12,0.2,16,34,71,x,32,5.2,1.37,x,0.6,x,x,x,x,1.59,0.24,5.1,55,28,123,23,112,148,x,104,294,3.3,900,1.3,x,x,14,x,x,x,x,x,x,0.4,10,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Matachewan Sediments, Abitibi Greenstone Belt",723-18,Fine-grained clastic sediments,2680,2747,,2680,68.2,0.47,3.44,14.3,0.08,4.95,x,4.45,2.11,3.36,1.21,0.12,x,x,x,x,x,x,1.39,35,6,2.4,78,x,0.2,26,24,50,x,21,3.3,1.1,x,0.4,x,x,x,x,1.07,0.16,3.2,55,15,74,10,94,73,x,41,493,1.5,300,0.7,x,x,2,x,x,x,x,x,x,0.2,5,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Matachewan Sediments, Abitibi Greenstone Belt",723-20,Fine-grained clastic sediments,2680,2747,,2680,61.3,0.79,2.16,18.7,0.09,5.67,x,5.1,2.86,2.96,3.08,0.17,x,x,x,x,x,x,2.54,57,6,x,128,20,x,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,50,25,117,x,91,130,x,92,358,x,770,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Kewagama Group, Abitibi Greenstone Belt",TB1,Fine-grained clastic sediments,2680,2747,,2680,61.2,0.57,3.63,17.3,0.06,5.01,x,4.51,2.25,4.46,2.25,0.14,x,x,x,x,x,x,0.93,x,16,x,187,13,x,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,56,19,245,x,66,x,x,85,625,x,789,x,x,x,x,x,x,x,x,x,x,x,3,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Kewagama Group, Abitibi Greenstone Belt",TB2,Fine-grained clastic sediments,2680,2747,,2680,60.5,0.58,1.45,17.7,0.06,5.45,x,4.9,3.22,1.55,5.22,0.13,x,x,x,x,x,x,2.31,x,17,3.6,152,11,x,12,15,43,x,12,2.11,0.56,x,0.2,x,x,x,x,0.92,0.19,7.1,67,22,172,14.9,73,x,x,149,288,5,2521,2.1,x,x,1,x,x,x,x,x,x,0.1,5,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Kewagama Group, Abitibi Greenstone Belt",TB6,Fine-grained clastic sediments,2680,2747,,2680,65.3,0.57,1.84,15.4,0.06,5.22,x,4.7,2.75,2.49,2.24,0.12,x,x,x,x,x,x,2.16,3,13,x,138,10,x,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,48,22,232,x,61,x,x,68,325,x,683,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Feng, R., and R. Kerrich. 1990. “Geochemistry of Fine-Grained Clastic Sediments in the Archean Abitibi Greenstone Belt, Canada: Implications for Provenance and Tectonic Setting.” Geochimica et Cosmochimica Acta 54 (4): 1061–81. doi:10.1016/0016-7037(90)90439-R.",,"Kewagama Group, Abitibi Greenstone Belt",TB7,Fine-grained clastic sediments,2680,2747,,2680,63,0.48,4.48,16.1,0.06,3.72,x,3.35,2.29,4.6,1.82,0.35,x,x,x,x,x,x,1,x,23,4.3,159,5,x,8,78.9,137,x,60,9.95,2.61,x,0.8,x,x,x,x,0.75,0.11,6.7,45,15,122,7.16,53,x,x,56,1544,2.3,1386,9.7,x,x,2,x,x,x,x,x,x,0.1,5,x,x,x,x,x,x,x
